goos: linux
goarch: amd64
pkg: github.com/fredbi/core/json/benchmarks/lexers
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4447	    270044 ns/op	 970.78 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    5335	    223884 ns/op	1171.70 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    5212	    220192 ns/op	1191.35 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    5350	    224766 ns/op	1167.10 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    5485	    221915 ns/op	1182.10 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    5488	    220117 ns/op	1191.76 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    5515	    221633 ns/op	1183.60 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    5348	    221416 ns/op	1184.76 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    5535	    216466 ns/op	1211.85 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    5588	    215846 ns/op	1215.34 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    5626	    215440 ns/op	1217.62 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    5492	    219698 ns/op	1194.03 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    5574	    216850 ns/op	1209.71 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    5467	    215075 ns/op	1219.69 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    4828	    212528 ns/op	1234.31 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    5328	    214030 ns/op	1225.65 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    5338	    215616 ns/op	1216.63 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    5559	    221566 ns/op	1183.96 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    3451	    297742 ns/op	 880.47 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    4106	    312067 ns/op	 840.05 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    4048	    300443 ns/op	 872.55 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    3960	    301190 ns/op	 870.39 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    3488	    307077 ns/op	 853.70 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    4017	    302810 ns/op	 865.73 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    3300	    304358 ns/op	 861.33 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    3982	    294504 ns/op	 890.15 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    4040	    294966 ns/op	 888.76 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    3849	    296056 ns/op	 885.49 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4773	    262094 ns/op	1000.23 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4647	    266828 ns/op	 982.48 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4366	    251470 ns/op	1042.48 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4748	    249602 ns/op	1050.29 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4856	    258280 ns/op	1015.00 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4880	    270508 ns/op	 969.11 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4411	    259745 ns/op	1009.27 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4458	    260166 ns/op	1007.64 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4270	    256900 ns/op	1020.45 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4615	    271656 ns/op	 965.02 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    4098	    302900 ns/op	 865.49 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    3276	    306420 ns/op	 855.54 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    3496	    301203 ns/op	 870.36 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    4015	    299039 ns/op	 876.66 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    4071	    296305 ns/op	 884.75 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    3885	    302597 ns/op	 866.35 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    4052	    306453 ns/op	 855.45 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    3951	    297083 ns/op	 882.43 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    4090	    298420 ns/op	 878.48 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    3985	    296457 ns/op	 884.30 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4554	    254628 ns/op	1029.57 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4612	    261956 ns/op	1000.76 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4750	    255637 ns/op	1025.50 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4701	    266268 ns/op	 984.56 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4702	    259551 ns/op	1010.04 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4586	    257550 ns/op	1017.88 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4498	    255332 ns/op	1026.73 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4500	    265545 ns/op	 987.24 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4646	    257277 ns/op	1018.97 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4620	    261861 ns/op	1001.13 MB/s	     328 B/op	       2 allocs/op
PASS
ok  	github.com/fredbi/core/json/benchmarks/lexers	177.009s
