goos: linux
goarch: amd64
pkg: github.com/fredbi/core/json/benchmarks/lexers
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkLexers/ints/default-lexer/bytes-16         	    2101	    492656 ns/op	 532.12 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/tokens-16               	    2487	    488136 ns/op	 537.05 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/tokens-16               	    2462	    491022 ns/op	 533.89 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/tokens-16               	    2535	    501423 ns/op	 522.82 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/reset-16                	    2056	    573374 ns/op	 457.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/reset-16                	    1974	    588038 ns/op	 445.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/reset-16                	    1687	    595843 ns/op	 439.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/reset-16                	    2078	    578122 ns/op	 453.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/reset-16                	    2068	    580393 ns/op	 451.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/reset-16                	    2115	    571203 ns/op	 458.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/reset-16                	    2041	    587063 ns/op	 446.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/reset-16                	    2046	    578441 ns/op	 453.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/reset-16                	    1776	    583657 ns/op	 449.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/reset-16                	    2114	    594584 ns/op	 440.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/verbatim-reset-16       	     628	   1904187 ns/op	 137.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/verbatim-reset-16       	     590	   1958688 ns/op	 133.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/verbatim-reset-16       	     620	   1946394 ns/op	 134.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/verbatim-reset-16       	     589	   1950023 ns/op	 134.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/verbatim-reset-16       	     595	   1962165 ns/op	 133.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/verbatim-reset-16       	     586	   1902884 ns/op	 137.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/verbatim-reset-16       	     616	   1939171 ns/op	 135.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/verbatim-reset-16       	     627	   1906771 ns/op	 137.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/verbatim-reset-16       	     580	   1923725 ns/op	 136.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/default-lexer/verbatim-reset-16       	     591	   1876179 ns/op	 139.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/floats/jsontext/bytes-16                     	    2558	    473415 ns/op	 553.75 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/floats/jsontext/bytes-16                     	    2228	    471930 ns/op	 555.49 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/floats/jsontext/bytes-16                     	    2638	    484429 ns/op	 541.16 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/floats/jsontext/bytes-16                     	    2595	    463377 ns/op	 565.74 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/floats/jsontext/bytes-16                     	    2583	    476688 ns/op	 549.94 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/floats/jsontext/bytes-16                     	    2546	    476134 ns/op	 550.58 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/floats/jsontext/bytes-16                     	    2529	    462006 ns/op	 567.42 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/floats/jsontext/bytes-16                     	    2544	    472504 ns/op	 554.81 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/floats/jsontext/bytes-16                     	    2529	    469836 ns/op	 557.96 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/floats/jsontext/bytes-16                     	    2558	    461126 ns/op	 568.50 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4389	    278509 ns/op	 941.27 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4179	    283590 ns/op	 924.41 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4285	    282604 ns/op	 927.63 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4320	    289032 ns/op	 907.00 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4252	    278082 ns/op	 942.72 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4276	    283413 ns/op	 924.99 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4239	    278980 ns/op	 939.68 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4298	    284671 ns/op	 920.90 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4189	    300667 ns/op	 871.91 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4270	    281814 ns/op	 930.23 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4701	    260974 ns/op	1004.52 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4706	    255978 ns/op	1024.12 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4711	    256123 ns/op	1023.54 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4712	    250528 ns/op	1046.40 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    3936	    258809 ns/op	1012.92 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4621	    256557 ns/op	1021.81 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4674	    258197 ns/op	1015.32 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4570	    253698 ns/op	1033.33 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4800	    252955 ns/op	1036.36 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4676	    254533 ns/op	1029.94 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    3550	    297718 ns/op	 880.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4315	    284721 ns/op	 920.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4388	    277805 ns/op	 943.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4262	    292522 ns/op	 896.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4308	    290747 ns/op	 901.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4341	    290849 ns/op	 901.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    3661	    278616 ns/op	 940.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4033	    280741 ns/op	 933.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4257	    285838 ns/op	 917.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4296	    278070 ns/op	 942.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1047	    998728 ns/op	 262.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1089	   1019579 ns/op	 257.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1054	   1001898 ns/op	 261.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1039	    997392 ns/op	 262.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1057	    999068 ns/op	 262.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1036	   1035753 ns/op	 253.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1018	   1003518 ns/op	 261.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1086	   1020445 ns/op	 256.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1178	   1017608 ns/op	 257.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1044	   1011803 ns/op	 259.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6216	    189009 ns/op	1386.99 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6379	    189633 ns/op	1382.42 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6265	    188430 ns/op	1391.25 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6333	    192552 ns/op	1361.47 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6078	    190953 ns/op	1372.86 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6316	    187265 ns/op	1399.91 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6384	    189894 ns/op	1380.52 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6253	    187981 ns/op	1394.57 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6429	    188494 ns/op	1390.78 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6488	    188404 ns/op	1391.44 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2362	    500179 ns/op	 524.11 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2437	    511561 ns/op	 512.45 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2396	    514526 ns/op	 509.50 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2398	    505358 ns/op	 518.74 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2434	    506586 ns/op	 517.48 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2437	    504055 ns/op	 520.08 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2367	    511294 ns/op	 512.72 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2395	    536671 ns/op	 488.47 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2348	    522453 ns/op	 501.77 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2200	    515860 ns/op	 508.18 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2478	    488948 ns/op	 536.15 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2552	    485326 ns/op	 540.15 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2240	    467944 ns/op	 560.21 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2498	    472308 ns/op	 555.04 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2460	    486214 ns/op	 539.16 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2516	    469886 ns/op	 557.90 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2238	    469369 ns/op	 558.51 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2416	    472382 ns/op	 554.95 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2491	    464203 ns/op	 564.73 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2563	    481315 ns/op	 544.65 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/reset-16                	    2456	    509635 ns/op	 514.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/reset-16                	    2385	    503088 ns/op	 521.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/reset-16                	    2188	    512130 ns/op	 511.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/reset-16                	    2438	    497433 ns/op	 527.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/reset-16                	    2384	    510611 ns/op	 513.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/reset-16                	    2160	    496105 ns/op	 528.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/reset-16                	    2407	    507382 ns/op	 516.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/reset-16                	    2282	    522628 ns/op	 501.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/reset-16                	    2182	    505530 ns/op	 518.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/reset-16                	    2346	    518756 ns/op	 505.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/verbatim-reset-16       	    1060	   1029695 ns/op	 254.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/verbatim-reset-16       	    1021	   1008089 ns/op	 260.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/verbatim-reset-16       	    1075	   1004315 ns/op	 261.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/verbatim-reset-16       	    1224	    993628 ns/op	 263.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/verbatim-reset-16       	    1017	   1014730 ns/op	 258.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/verbatim-reset-16       	    1058	   1007505 ns/op	 260.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/verbatim-reset-16       	    1051	    996824 ns/op	 262.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/verbatim-reset-16       	    1110	   1000172 ns/op	 262.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/verbatim-reset-16       	    1220	    998211 ns/op	 262.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/verbatim-reset-16       	    1054	    999621 ns/op	 262.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/jsontext/bytes-16                     	    3670	    323608 ns/op	 810.08 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_escaped/jsontext/bytes-16                     	    3644	    329328 ns/op	 796.01 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_escaped/jsontext/bytes-16                     	    3690	    328377 ns/op	 798.32 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_escaped/jsontext/bytes-16                     	    3631	    329501 ns/op	 795.59 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_escaped/jsontext/bytes-16                     	    3150	    333754 ns/op	 785.46 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_escaped/jsontext/bytes-16                     	    3674	    330418 ns/op	 793.39 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_escaped/jsontext/bytes-16                     	    3724	    320819 ns/op	 817.12 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_escaped/jsontext/bytes-16                     	    3656	    325364 ns/op	 805.71 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_escaped/jsontext/bytes-16                     	    3627	    331773 ns/op	 790.15 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_escaped/jsontext/bytes-16                     	    3322	    324299 ns/op	 808.36 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16           	    5479	    226736 ns/op	1156.96 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16           	    5370	    228772 ns/op	1146.66 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16           	    5491	    223517 ns/op	1173.62 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16           	    5331	    228647 ns/op	1147.29 MB/s	     960 B/op	       5 allocs/op
