goos: linux
goarch: amd64
pkg: github.com/fredbi/core/json/benchmarks/lexers
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4417	    283447 ns/op	 924.88 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/tokens-16                  	    4717	    260520 ns/op	1006.27 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/verbatim-tokens-16         	    1354	    763267 ns/op	 343.46 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/lab/verbatim-tokens-16         	    1314	    770656 ns/op	 340.17 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/lab/verbatim-tokens-16         	    1314	    775321 ns/op	 338.12 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/lab/verbatim-tokens-16         	    1549	    784847 ns/op	 334.02 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/lab/verbatim-tokens-16         	    1308	    808606 ns/op	 324.20 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/lab/verbatim-tokens-16         	    1552	    765964 ns/op	 342.25 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/lab/verbatim-tokens-16         	    1585	    770054 ns/op	 340.43 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/lab/verbatim-tokens-16         	    1300	    773056 ns/op	 339.11 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/lab/verbatim-tokens-16         	    1370	    763278 ns/op	 343.46 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/lab/verbatim-tokens-16         	    1317	    773223 ns/op	 339.04 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4489	    275093 ns/op	 952.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4089	    280211 ns/op	 935.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4246	    274407 ns/op	 955.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4454	    281126 ns/op	 932.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4111	    277090 ns/op	 946.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4118	    279398 ns/op	 938.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4453	    278842 ns/op	 940.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4207	    281283 ns/op	 931.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4286	    279625 ns/op	 937.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/reset-16         	    4306	    272885 ns/op	 960.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-16      	    1036	   1006917 ns/op	 260.35 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-16      	    1004	   1005818 ns/op	 260.64 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-16      	    1132	   1017800 ns/op	 257.57 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-16      	    1190	   1016312 ns/op	 257.95 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-16      	    1155	   1018010 ns/op	 257.52 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-16      	    1190	   1019549 ns/op	 257.13 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-16      	    1173	   1032815 ns/op	 253.82 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-16      	    1042	   1020146 ns/op	 256.98 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-16      	    1009	   1013406 ns/op	 258.68 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-16      	    1035	   1037116 ns/op	 252.77 MB/s	     336 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1098	   1018606 ns/op	 257.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1045	   1008789 ns/op	 259.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1172	   1004709 ns/op	 260.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1038	    994380 ns/op	 263.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1044	   1018480 ns/op	 257.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1057	   1017696 ns/op	 257.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1034	   1003299 ns/op	 261.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1197	   1001894 ns/op	 261.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1053	    998530 ns/op	 262.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/verbatim-reset-16         	    1030	   1030393 ns/op	 254.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/easyjson/bytes-16                       	    2384	    617527 ns/op	 424.52 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson/bytes-16                       	    2167	    635094 ns/op	 412.78 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson/bytes-16                       	    1730	    667243 ns/op	 392.89 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson/bytes-16                       	    1818	    607549 ns/op	 431.49 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson/bytes-16                       	    1674	    619304 ns/op	 423.30 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson/bytes-16                       	    1826	    610992 ns/op	 429.06 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson/bytes-16                       	    1634	    634873 ns/op	 412.92 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson/bytes-16                       	    1741	    618097 ns/op	 424.13 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson/bytes-16                       	    1876	    656389 ns/op	 399.39 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson/bytes-16                       	    1674	    656531 ns/op	 399.30 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson-f64/bytes-16                   	    2031	    574971 ns/op	 455.94 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson-f64/bytes-16                   	    1584	    645936 ns/op	 405.85 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson-f64/bytes-16                   	    1876	    636498 ns/op	 411.87 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson-f64/bytes-16                   	    1789	    625328 ns/op	 419.22 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson-f64/bytes-16                   	    1885	    620707 ns/op	 422.35 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson-f64/bytes-16                   	    2061	    642852 ns/op	 407.80 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson-f64/bytes-16                   	    2078	    554738 ns/op	 472.57 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson-f64/bytes-16                   	    1666	    632570 ns/op	 414.43 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson-f64/bytes-16                   	    2167	    640296 ns/op	 409.42 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/easyjson-f64/bytes-16                   	    1748	    626590 ns/op	 418.38 MB/s	  285984 B/op	   11916 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    5508	    186047 ns/op	1409.07 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    5362	    189173 ns/op	1385.79 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6349	    193224 ns/op	1356.73 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6392	    190984 ns/op	1372.65 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6279	    188293 ns/op	1392.26 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    5440	    187005 ns/op	1401.85 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6350	    187766 ns/op	1396.17 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6368	    185938 ns/op	1409.90 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6392	    186662 ns/op	1404.43 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/jsontext/bytes-16                       	    6632	    187266 ns/op	1399.89 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/strings_plain/push-proto/bytes-16                     	    5065	    237121 ns/op	1105.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/push-proto/bytes-16                     	    4777	    249925 ns/op	1048.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/push-proto/bytes-16                     	    4966	    243418 ns/op	1076.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/push-proto/bytes-16                     	    4779	    241102 ns/op	1087.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/push-proto/bytes-16                     	    4868	    242830 ns/op	1079.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/push-proto/bytes-16                     	    4795	    251619 ns/op	1041.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/push-proto/bytes-16                     	    4840	    240858 ns/op	1088.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/push-proto/bytes-16                     	    4975	    237297 ns/op	1104.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/push-proto/bytes-16                     	    5066	    243306 ns/op	1077.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/push-proto/bytes-16                     	    4954	    239154 ns/op	1096.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/push-proto-pull/bytes-16                	    1390	    868356 ns/op	 301.90 MB/s	     304 B/op	       8 allocs/op
BenchmarkLexers/strings_plain/push-proto-pull/bytes-16                	    1382	    895654 ns/op	 292.69 MB/s	     304 B/op	       8 allocs/op
BenchmarkLexers/strings_plain/push-proto-pull/bytes-16                	    1114	    914390 ns/op	 286.70 MB/s	     304 B/op	       8 allocs/op
BenchmarkLexers/strings_plain/push-proto-pull/bytes-16                	    1339	    898749 ns/op	 291.69 MB/s	     304 B/op	       8 allocs/op
BenchmarkLexers/strings_plain/push-proto-pull/bytes-16                	    1363	    889605 ns/op	 294.68 MB/s	     304 B/op	       8 allocs/op
BenchmarkLexers/strings_plain/push-proto-pull/bytes-16                	    1174	    883411 ns/op	 296.75 MB/s	     304 B/op	       8 allocs/op
BenchmarkLexers/strings_plain/push-proto-pull/bytes-16                	    1359	    887014 ns/op	 295.55 MB/s	     304 B/op	       8 allocs/op
BenchmarkLexers/strings_plain/push-proto-pull/bytes-16                	    1177	    884777 ns/op	 296.29 MB/s	     304 B/op	       8 allocs/op
BenchmarkLexers/strings_plain/push-proto-pull/bytes-16                	    1146	    877009 ns/op	 298.92 MB/s	     304 B/op	       8 allocs/op
BenchmarkLexers/strings_plain/push-proto-pull/bytes-16                	    1200	    873751 ns/op	 300.03 MB/s	     304 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2490	    470534 ns/op	 557.13 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2673	    452537 ns/op	 579.29 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2650	    468939 ns/op	 559.03 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2599	    470662 ns/op	 556.98 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2598	    460527 ns/op	 569.24 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2593	    456489 ns/op	 574.27 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2630	    450181 ns/op	 582.32 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2648	    457053 ns/op	 573.56 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2493	    458824 ns/op	 571.35 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16                	    2584	    473584 ns/op	 553.54 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/pooled-16               	    2630	    461899 ns/op	 567.55 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/pooled-16               	    2648	    455483 ns/op	 575.54 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/pooled-16               	    2660	    456983 ns/op	 573.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/pooled-16               	    2656	    450227 ns/op	 582.26 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/pooled-16               	    2683	    465851 ns/op	 562.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/pooled-16               	    2586	    456009 ns/op	 574.88 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/pooled-16               	    2599	    459757 ns/op	 570.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/pooled-16               	    2631	    463789 ns/op	 565.23 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/pooled-16               	    2667	    458197 ns/op	 572.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/pooled-16               	    2373	    457594 ns/op	 572.89 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/strings_escaped/lab/bytes-16                          	    2721	    471991 ns/op	 555.41 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/lab/bytes-16                          	    2611	    456554 ns/op	 574.19 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/lab/bytes-16                          	    2626	    457020 ns/op	 573.61 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/lab/bytes-16                          	    2629	    472963 ns/op	 554.27 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/lab/bytes-16                          	    2643	    450980 ns/op	 581.29 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/lab/bytes-16                          	    2643	    455783 ns/op	 575.16 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/lab/bytes-16                          	    2575	    459962 ns/op	 569.94 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/lab/bytes-16                          	    2685	    455976 ns/op	 574.92 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/lab/bytes-16                          	    2179	    460624 ns/op	 569.12 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/lab/bytes-16                          	    2623	    460886 ns/op	 568.79 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/stdlib/bytes-16                       	     242	   5893218 ns/op	  44.48 MB/s	 1842908 B/op	   76758 allocs/op
BenchmarkLexers/strings_escaped/stdlib/bytes-16                       	     192	   5534096 ns/op	  47.37 MB/s	 1842907 B/op	   76758 allocs/op
BenchmarkLexers/strings_escaped/stdlib/bytes-16                       	     248	   5835847 ns/op	  44.92 MB/s	 1842907 B/op	   76758 allocs/op
BenchmarkLexers/strings_escaped/stdlib/bytes-16                       	     192	   5812226 ns/op	  45.10 MB/s	 1842909 B/op	   76758 allocs/op
BenchmarkLexers/strings_escaped/stdlib/bytes-16                       	     198	   6183503 ns/op	  42.39 MB/s	 1842907 B/op	   76758 allocs/op
BenchmarkLexers/strings_escaped/stdlib/bytes-16                       	     213	   5408407 ns/op	  48.47 MB/s	 1842905 B/op	   76758 allocs/op
BenchmarkLexers/strings_escaped/stdlib/bytes-16                       	     231	   6164116 ns/op	  42.53 MB/s	 1842905 B/op	   76758 allocs/op
BenchmarkLexers/strings_escaped/stdlib/bytes-16                       	     210	   5774739 ns/op	  45.40 MB/s	 1842906 B/op	   76758 allocs/op
BenchmarkLexers/strings_escaped/stdlib/bytes-16                       	     192	   5878785 ns/op	  44.59 MB/s	 1842905 B/op	   76758 allocs/op
BenchmarkLexers/strings_escaped/stdlib/bytes-16                       	     196	   5808281 ns/op	  45.13 MB/s	 1842907 B/op	   76758 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2858	    443225 ns/op	 591.46 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2845	    423338 ns/op	 619.24 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2767	    436724 ns/op	 600.26 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2781	    425601 ns/op	 615.95 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2872	    416786 ns/op	 628.98 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2836	    426512 ns/op	 614.63 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2516	    429522 ns/op	 610.33 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2799	    426798 ns/op	 614.22 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16               	    2847	    414342 ns/op	 632.69 MB/s	     384 B/op	       5 allocs/op
