goos: linux
goarch: amd64
pkg: github.com/fredbi/core/json/benchmarks/lexers
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2467	    445807 ns/op	 588.04 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1258	    921546 ns/op	 284.49 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1644	    728482 ns/op	 359.89 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1638	    714862 ns/op	 366.74 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1561	    729299 ns/op	 359.49 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1407	    717999 ns/op	 365.14 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1600	    746297 ns/op	 351.30 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1659	    716945 ns/op	 365.68 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1658	    746297 ns/op	 351.30 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1656	    713816 ns/op	 367.28 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1466	    739124 ns/op	 354.71 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1652	    730522 ns/op	 358.88 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     438	   2780505 ns/op	 621.18 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     410	   2725093 ns/op	 633.81 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     451	   2689537 ns/op	 642.19 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     426	   2733922 ns/op	 631.77 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     423	   2732771 ns/op	 632.03 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     432	   2679248 ns/op	 644.66 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     438	   2739339 ns/op	 630.52 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     448	   2665987 ns/op	 647.87 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     422	   2687274 ns/op	 642.73 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     439	   2770826 ns/op	 623.35 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     663	   1908034 ns/op	 905.23 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     667	   1868122 ns/op	 924.57 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     632	   1835501 ns/op	 941.00 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     618	   1812803 ns/op	 952.78 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     652	   1835178 ns/op	 941.16 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     607	   1889514 ns/op	 914.10 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     650	   1855802 ns/op	 930.70 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     646	   1869362 ns/op	 923.95 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     591	   1851788 ns/op	 932.72 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     609	   1841504 ns/op	 937.93 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1251	    963017 ns/op	 655.77 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1162	   1001391 ns/op	 630.64 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1148	    973323 ns/op	 648.82 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1218	    985390 ns/op	 640.88 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1107	    953827 ns/op	 662.08 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1288	    980856 ns/op	 643.84 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1251	   1061259 ns/op	 595.06 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1096	    958264 ns/op	 659.02 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1222	    976877 ns/op	 646.46 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1087	    989852 ns/op	 637.99 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1720	    702718 ns/op	 898.67 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1698	    755466 ns/op	 835.93 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1416	    724863 ns/op	 871.22 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1634	    714875 ns/op	 883.39 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1430	    722095 ns/op	 874.56 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1400	    714334 ns/op	 884.06 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1411	    715564 ns/op	 882.54 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1532	    711188 ns/op	 887.97 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1623	    710541 ns/op	 888.78 MB/s	    1768 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1698	    703254 ns/op	 897.99 MB/s	    1768 B/op	       8 allocs/op
PASS
ok  	github.com/fredbi/core/json/benchmarks/lexers	124.539s
