# Micro-benchmark baseline — go1.26.4, Ryzen 7 5800X, count=10
# reference (master 1ac8025 default-lexer) vs lab, bytes/tokens/reset
# captured 2026-06-27T11:42:48Z

goos: linux
goarch: amd64
pkg: github.com/fredbi/core/json/benchmarks/lexers
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkMicro/ints_pos/reference/bytes-16         	    2092	    533187 ns/op	 491.67 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/tokens-16              	    2932	    416430 ns/op	 629.52 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/tokens-16              	    2937	    403193 ns/op	 650.19 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/tokens-16              	    2917	    402280 ns/op	 651.67 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/tokens-16              	    2966	    408750 ns/op	 641.35 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/tokens-16              	    2992	    398678 ns/op	 657.55 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/tokens-16              	    2926	    403833 ns/op	 649.16 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/tokens-16              	    2967	    404287 ns/op	 648.43 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/tokens-16              	    2950	    399873 ns/op	 655.59 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/tokens-16              	    2922	    407979 ns/op	 642.56 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/tokens-16              	    2983	    404704 ns/op	 647.76 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/reset-16         	    2390	    502504 ns/op	 521.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/reference/reset-16         	    2386	    505177 ns/op	 518.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/reference/reset-16         	    2134	    505982 ns/op	 518.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/reference/reset-16         	    2404	    506673 ns/op	 517.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/reference/reset-16         	    2174	    505891 ns/op	 518.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/reference/reset-16         	    2301	    520055 ns/op	 504.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/reference/reset-16         	    2348	    504736 ns/op	 519.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/reference/reset-16         	    2224	    518698 ns/op	 505.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/reference/reset-16         	    2398	    502102 ns/op	 522.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/reference/reset-16         	    2242	    502667 ns/op	 521.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/lab/reset-16               	    2538	    483615 ns/op	 542.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/lab/reset-16               	    2524	    476420 ns/op	 550.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/lab/reset-16               	    2460	    484751 ns/op	 540.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/lab/reset-16               	    2524	    482648 ns/op	 543.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/lab/reset-16               	    2524	    485606 ns/op	 539.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/lab/reset-16               	    2412	    493930 ns/op	 530.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/lab/reset-16               	    2529	    486455 ns/op	 538.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/lab/reset-16               	    2437	    477930 ns/op	 548.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/lab/reset-16               	    2494	    493015 ns/op	 531.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_pos/lab/reset-16               	    2467	    475395 ns/op	 551.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/reference/bytes-16         	    2557	    475896 ns/op	 550.84 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/bytes-16         	    2566	    469831 ns/op	 557.96 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/bytes-16         	    2580	    474786 ns/op	 552.13 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/bytes-16         	    2516	    477815 ns/op	 548.63 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/bytes-16         	    2577	    478174 ns/op	 548.22 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/bytes-16         	    2436	    487021 ns/op	 538.26 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/bytes-16         	    2493	    478827 ns/op	 547.47 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/bytes-16         	    2551	    469631 ns/op	 558.19 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/bytes-16         	    2558	    469614 ns/op	 558.21 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/bytes-16         	    2487	    490927 ns/op	 533.98 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/bytes-16               	    2614	    458887 ns/op	 571.26 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/bytes-16               	    2649	    458633 ns/op	 571.58 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/bytes-16               	    2625	    458987 ns/op	 571.14 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/bytes-16               	    2557	    473852 ns/op	 553.22 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/bytes-16               	    2602	    459430 ns/op	 570.59 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/bytes-16               	    2607	    468166 ns/op	 559.94 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/bytes-16               	    2590	    459051 ns/op	 571.06 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/bytes-16               	    2584	    455382 ns/op	 575.66 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/bytes-16               	    2589	    458489 ns/op	 571.76 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/bytes-16               	    2196	    458083 ns/op	 572.27 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/tokens-16        	    3064	    387125 ns/op	 677.16 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/tokens-16        	    3141	    397847 ns/op	 658.91 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/tokens-16        	    3102	    385612 ns/op	 679.82 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/tokens-16        	    3070	    391649 ns/op	 669.34 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/tokens-16        	    3127	    386152 ns/op	 678.87 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/tokens-16        	    3080	    390975 ns/op	 670.49 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/tokens-16        	    3170	    385066 ns/op	 680.78 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/tokens-16        	    3026	    393397 ns/op	 666.36 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/tokens-16        	    2824	    384226 ns/op	 682.27 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/tokens-16        	    3103	    391192 ns/op	 670.12 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/tokens-16              	    3052	    400675 ns/op	 654.26 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/tokens-16              	    3009	    398080 ns/op	 658.52 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/tokens-16              	    2994	    396909 ns/op	 660.47 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/tokens-16              	    2776	    398223 ns/op	 658.29 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/tokens-16              	    3006	    399518 ns/op	 656.15 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/tokens-16              	    2992	    395511 ns/op	 662.80 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/tokens-16              	    2990	    395538 ns/op	 662.76 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/tokens-16              	    2988	    397842 ns/op	 658.92 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/tokens-16              	    3036	    392723 ns/op	 667.51 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/lab/tokens-16              	    2956	    395952 ns/op	 662.06 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_neg/reference/reset-16         	    2490	    481165 ns/op	 544.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/reference/reset-16         	    2306	    478713 ns/op	 547.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/reference/reset-16         	    2552	    470704 ns/op	 556.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/reference/reset-16         	    2546	    470133 ns/op	 557.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/reference/reset-16         	    2547	    477909 ns/op	 548.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/reference/reset-16         	    2526	    483116 ns/op	 542.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/reference/reset-16         	    2541	    476514 ns/op	 550.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/reference/reset-16         	    2517	    490297 ns/op	 534.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/reference/reset-16         	    2343	    477317 ns/op	 549.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/reference/reset-16         	    2551	    482120 ns/op	 543.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/lab/reset-16               	    2619	    457712 ns/op	 572.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/lab/reset-16               	    2660	    466754 ns/op	 561.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/lab/reset-16               	    2634	    457719 ns/op	 572.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/lab/reset-16               	    2412	    466071 ns/op	 562.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/lab/reset-16               	    2661	    461919 ns/op	 567.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/lab/reset-16               	    2629	    455197 ns/op	 575.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/lab/reset-16               	    2642	    455527 ns/op	 575.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/lab/reset-16               	    2596	    470684 ns/op	 556.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/lab/reset-16               	    2415	    452435 ns/op	 579.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/ints_neg/lab/reset-16               	    2661	    456664 ns/op	 574.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/reference/bytes-16         	    2223	    544287 ns/op	 481.65 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/bytes-16         	    2194	    549688 ns/op	 476.91 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/bytes-16         	    2197	    549320 ns/op	 477.23 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/bytes-16         	    2184	    551797 ns/op	 475.09 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/bytes-16         	    2168	    550462 ns/op	 476.24 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/bytes-16         	    2228	    546158 ns/op	 480.00 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/bytes-16         	    2209	    546439 ns/op	 479.75 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/bytes-16         	    2205	    558610 ns/op	 469.30 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/bytes-16         	    2215	    544267 ns/op	 481.66 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/bytes-16         	    2194	    558411 ns/op	 469.46 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/bytes-16               	    2046	    586501 ns/op	 446.98 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/bytes-16               	    2040	    588414 ns/op	 445.53 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/bytes-16               	    1995	    589144 ns/op	 444.97 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/bytes-16               	    2047	    592512 ns/op	 442.44 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/bytes-16               	    2059	    589125 ns/op	 444.99 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/bytes-16               	    1846	    598935 ns/op	 437.70 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/bytes-16               	    2076	    592051 ns/op	 442.79 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/bytes-16               	    2059	    599094 ns/op	 437.58 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/bytes-16               	    2072	    600846 ns/op	 436.31 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/bytes-16               	    2089	    584758 ns/op	 448.31 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/tokens-16        	    2644	    472717 ns/op	 554.57 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/tokens-16        	    2641	    466827 ns/op	 561.57 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/tokens-16        	    2580	    465878 ns/op	 562.71 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/tokens-16        	    2518	    472231 ns/op	 555.14 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/tokens-16        	    2607	    467056 ns/op	 561.29 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/tokens-16        	    2587	    468382 ns/op	 559.70 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/tokens-16        	    2571	    474254 ns/op	 552.77 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/tokens-16        	    2580	    465880 ns/op	 562.71 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/tokens-16        	    2516	    470019 ns/op	 557.75 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/tokens-16        	    2563	    475348 ns/op	 551.50 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/tokens-16              	    2343	    510140 ns/op	 513.89 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/tokens-16              	    2311	    510405 ns/op	 513.62 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/tokens-16              	    2346	    511830 ns/op	 512.19 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/tokens-16              	    2151	    516833 ns/op	 507.23 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/tokens-16              	    2342	    509423 ns/op	 514.61 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/tokens-16              	    2355	    511085 ns/op	 512.94 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/tokens-16              	    2354	    515473 ns/op	 508.57 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/tokens-16              	    2372	    511028 ns/op	 512.99 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/tokens-16              	    2330	    509105 ns/op	 514.93 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/lab/tokens-16              	    2295	    511547 ns/op	 512.47 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/decimals/reference/reset-16         	    2203	    551886 ns/op	 475.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/reference/reset-16         	    2133	    556821 ns/op	 470.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/reference/reset-16         	    2169	    553158 ns/op	 473.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/reference/reset-16         	    2199	    557792 ns/op	 469.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/reference/reset-16         	    2131	    562602 ns/op	 465.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/reference/reset-16         	    2204	    557302 ns/op	 470.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/reference/reset-16         	    2186	    552015 ns/op	 474.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/reference/reset-16         	    2188	    565095 ns/op	 463.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/reference/reset-16         	    2168	    554256 ns/op	 472.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/reference/reset-16         	    2200	    553573 ns/op	 473.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/lab/reset-16               	    1992	    587412 ns/op	 446.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/lab/reset-16               	    2054	    590409 ns/op	 444.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/lab/reset-16               	    1878	    600049 ns/op	 436.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/lab/reset-16               	    2067	    592928 ns/op	 442.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/lab/reset-16               	    2028	    585212 ns/op	 447.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/lab/reset-16               	    2049	    598073 ns/op	 438.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/lab/reset-16               	    2041	    590196 ns/op	 444.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/lab/reset-16               	    1924	    578762 ns/op	 452.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/lab/reset-16               	    2065	    581921 ns/op	 450.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/decimals/lab/reset-16               	    2025	    584467 ns/op	 448.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkMicro/exponential/reference/bytes-16      	    1572	    753040 ns/op	 348.12 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/bytes-16      	    1455	    775465 ns/op	 338.06 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/bytes-16      	    1344	    773143 ns/op	 339.07 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/bytes-16      	    1609	    778538 ns/op	 336.72 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/bytes-16      	    1338	    753853 ns/op	 347.75 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/bytes-16      	    1348	    756654 ns/op	 346.46 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/bytes-16      	    1506	    767003 ns/op	 341.78 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/bytes-16      	    1346	    745634 ns/op	 351.58 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/bytes-16      	    1616	    782254 ns/op	 335.12 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/bytes-16      	    1634	    765968 ns/op	 342.25 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/lab/bytes-16            	    1297	    795295 ns/op	 329.63 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/lab/bytes-16            	    1464	    805440 ns/op	 325.47 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/lab/bytes-16            	    1282	    784763 ns/op	 334.05 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/lab/bytes-16            	    1276	    786196 ns/op	 333.44 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/lab/bytes-16            	    1293	    788371 ns/op	 332.52 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/lab/bytes-16            	    1281	    798087 ns/op	 328.47 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/lab/bytes-16            	    1275	    792978 ns/op	 330.59 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/lab/bytes-16            	    1518	    791262 ns/op	 331.31 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/lab/bytes-16            	    1282	    790774 ns/op	 331.51 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/lab/bytes-16            	    1528	    786209 ns/op	 333.44 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/tokens-16     	    1738	    649819 ns/op	 403.42 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/tokens-16     	    1866	    650366 ns/op	 403.08 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/tokens-16     	    1528	    654887 ns/op	 400.30 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/tokens-16     	    1785	    644151 ns/op	 406.97 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/tokens-16     	    1875	    655045 ns/op	 400.20 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/tokens-16     	    1918	    642148 ns/op	 408.24 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/tokens-16     	    1884	    641015 ns/op	 408.96 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/tokens-16     	    1788	    641081 ns/op	 408.92 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/tokens-16     	    1875	    648041 ns/op	 404.53 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/reference/tokens-16     	    1837	    634136 ns/op	 413.40 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/lab/tokens-16           	    1842	    663510 ns/op	 395.10 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/lab/tokens-16           	    1796	    665944 ns/op	 393.65 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/exponential/lab/tokens-16           	    1858	    658748 ns/op	 397.95 MB/s	     328 B/op	       2 allocs/op
